N,ln_N,G_N,HL_N,delta
55604,10.92601,363,410.4193,-0.115539
55704,10.927807,833,1230.145,-0.322844
55804,10.929601,463,508.0628,-0.088695
55904,10.931391,366,412.2275,-0.112141
56004,10.933178,837,1209.358,-0.307897
56104,10.934962,388,413.4321,-0.061515
56204,10.936743,379,414.0341,-0.084617
56304,10.938521,827,1184.0342,-0.30154
56404,10.940295,378,415.2377,-0.089678
56504,10.942067,469,513.2644,-0.086241
56604,10.943835,791,1110.5081,-0.287713
56704,10.9456,373,417.0417,-0.105605
56804,10.947362,425,468.7348,-0.093304
56904,10.949121,770,1115.3161,-0.309613
57004,10.950877,379,418.8442,-0.095129
57104,10.952629,394,419.4447,-0.060663
57204,10.954379,935,1382.5481,-0.323712
57304,10.956126,455,490.7914,-0.072926
57404,10.957869,395,421.2451,-0.062304
57504,10.95961,765,1124.9198,-0.319952
57604,10.961347,403,422.4446,-0.046029
57704,10.963082,392,423.044,-0.073382
57804,10.964813,778,1129.7155,-0.311331
57904,10.966542,547,587.6952,-0.069245
58004,10.968267,412,454.9413,-0.094389
58104,10.96999,787,1134.5072,-0.306307
58204,10.971709,403,426.0388,-0.054077
58304,10.973426,380,426.6373,-0.109314
58404,10.97514,822,1139.2949,-0.278501
58504,10.97685,398,427.8337,-0.069732
58604,10.978558,552,580.9146,-0.049774
58704,10.980263,796,1144.0786,-0.304244
58804,10.981965,416,429.6271,-0.031718
58904,10.983664,393,430.2246,-0.086524
59004,10.985361,895,1289.4034,-0.305881
59104,10.987054,401,431.419,-0.070509
59204,10.988744,430,458.8449,-0.062864
59304,10.990432,950,1423.9143,-0.332825
59404,10.992117,399,433.2095,-0.078968
59504,10.993799,400,433.806,-0.077929
59604,10.995478,778,1158.4062,-0.328388
59704,10.997154,431,465.818,-0.074746
59804,10.998828,403,435.5945,-0.074828
59904,11.000499,865,1277.7909,-0.32305
60004,11.002167,501,539.1187,-0.070706
60104,11.003832,437,490.8884,-0.109777
60204,11.005494,831,1167.9384,-0.28849
60304,11.007154,408,438.5721,-0.069708
60404,11.008811,402,439.1671,-0.084631
60504,11.010465,811,1172.6988,-0.308433
60604,11.012116,428,440.3568,-0.028061
60704,11.013765,473,544.2599,-0.13093
60804,11.015411,800,1177.4553,-0.320569
60904,11.017054,421,442.14,-0.047813
61004,11.018695,416,442.7341,-0.060384
61104,11.020333,868,1255.6251,-0.308711
61204,11.021968,502,547.3231,-0.082809
61304,11.0236,386,444.5154,-0.131639
61404,11.02523,1056,1568.842,-0.326892
61504,11.026857,423,445.7022,-0.050936
61604,11.028482,401,446.2954,-0.101492
61704,11.030104,814,1191.7023,-0.316944
61804,11.031723,427,447.4812,-0.04577
61904,11.03334,414,448.0739,-0.076045
62004,11.034954,811,1196.4438,-0.322158
62104,11.036566,497,554.5137,-0.103719
62204,11.038175,417,449.8511,-0.073027
62304,11.039781,940,1348.1276,-0.302737
62404,11.041385,420,451.0351,-0.068809
62504,11.042986,451,496.1291,-0.090963
62604,11.044584,864,1205.9158,-0.283532
62704,11.046181,399,452.8099,-0.118836
62804,11.047774,506,559.6267,-0.095826
62904,11.049365,828,1210.6464,-0.316068
63004,11.050953,442,482.8138,-0.084533
63104,11.052539,463,487.4232,-0.050107
63204,11.054123,887,1215.3732,-0.270183
63304,11.055704,443,456.3555,-0.029266
63404,11.057282,495,512.8462,-0.034798
63504,11.058858,1023,1505.9477,-0.320694
63604,11.060432,418,458.1263,-0.087588
63704,11.062003,427,458.7163,-0.069141
63804,11.063571,928,1345.5069,-0.310297
63904,11.065137,429,459.8957,-0.06718
64004,11.066701,431,460.4852,-0.064031
64104,11.068262,841,1229.5323,-0.316
64204,11.069821,495,569.8251,-0.131312
64304,11.071377,420,462.2529,-0.091406
64404,11.072931,843,1234.2449,-0.316991
64504,11.074483,472,520.1241,-0.092524
64604,11.076032,442,464.0192,-0.047453
64704,11.077578,845,1238.9539,-0.317973
64804,11.079123,457,498.155,-0.082615
64904,11.080665,559,610.6137,-0.084528
65004,11.082204,837,1243.6594,-0.326986
65104,11.083741,468,512.9734,-0.087672
65204,11.085276,440,467.5479,-0.05892
65304,11.086809,877,1248.3615,-0.297479
65404,11.088339,437,468.723,-0.06768
65504,11.089866,462,469.3104,-0.015577
65604,11.091392,1177,1735.8408,-0.321942
65704,11.092915,440,470.4846,-0.064794
65804,11.094436,422,471.0715,-0.10417
65904,11.095954,857,1257.7552,-0.318627
66004,11.097471,461,472.2448,-0.023811
66104,11.098985,436,472.8313,-0.077895
66204,11.100496,864,1262.4469,-0.315615
66304,11.102006,541,585.0561,-0.075302
66404,11.103513,475,521.3549,-0.088912
66504,11.105017,945,1356.9113,-0.303565
